order_id,customer_id,return_reason,return_status
1,1,Defective,Delivered
7,2,Too Expensive,Not Accepted
12,3,Too Expensive,Not Accepted
25,12,Found a Better Price,Not Accepted
45,11,Defective,Sent
47,6,Wrong Item,Delivered
65,31,Not as Expected,Delivered
72,66,Not as Expected,Delivered
75,64,Found a Better Price,Not Accepted
79,29,Found a Better Price,Delivered
88,76,Size/Fit Issues,Sent
103,40,Too Expensive,Delivered
128,48,Found a Better Price,Not Accepted
131,38,Duplicate Order,Delivered
133,7,Wrong Item,Not Accepted
164,89,Too Expensive,Delivered
177,55,Changed Mind,Not Accepted
178,104,Wrong Item,Delivered
185,178,Quality Issues,Delivered
223,160,Defective,Not Accepted
246,232,Changed Mind,Not Accepted
252,23,Not as Expected,Registered
259,73,Not as Expected,Not Accepted
270,58,Too Expensive,Received
276,223,Defective,Sent
297,162,Wrong Item,Not Accepted
302,23,Found a Better Price,Delivered
330,41,Damaged,Not Accepted
341,121,Not as Expected,Delivered
350,57,Defective,Delivered
366,334,Quality Issues,Sent
380,9,Defective,Delivered
397,100,Size/Fit Issues,Received
401,130,Too Expensive,Delivered
413,191,Quality Issues,Delivered
443,235,Changed Mind,Registered
445,140,Damaged,Sent
460,321,Size/Fit Issues,Delivered
486,22,Changed Mind,Not Accepted
515,58,Defective,Delivered
524,401,Duplicate Order,Delivered
532,230,Changed Mind,Delivered
537,43,Size/Fit Issues,Delivered
551,411,Wrong Item,Delivered
565,303,Wrong Item,Not Accepted
589,210,Changed Mind,Delivered
622,149,Changed Mind,Delivered
626,28,Changed Mind,Delivered
641,126,Wrong Item,Delivered
647,630,Defective,Not Accepted
650,400,Found a Better Price,Not Accepted
654,409,Quality Issues,Not Accepted
665,446,Defective,Delivered
678,654,Too Expensive,Delivered
681,405,Duplicate Order,Delivered
694,600,Too Expensive,Delivered
702,611,Too Expensive,Delivered
706,576,Changed Mind,Delivered
711,17,Not as Expected,Delivered
717,344,Quality Issues,Delivered
719,305,Defective,Not Accepted
722,602,Duplicate Order,Delivered
725,213,Found a Better Price,Received
732,506,Size/Fit Issues,Registered
734,450,Duplicate Order,Not Accepted
752,607,Quality Issues,Not Accepted
756,504,Found a Better Price,Not Accepted
773,657,Duplicate Order,Delivered
775,300,Found a Better Price,Not Accepted
777,431,Size/Fit Issues,Not Accepted
787,259,Not as Expected,Not Accepted
792,508,Wrong Item,Delivered
795,108,Changed Mind,Not Accepted
800,65,Found a Better Price,Delivered
805,624,Defective,Delivered
812,748,Too Expensive,Delivered
816,210,Quality Issues,Received
820,214,Too Expensive,Not Accepted
823,548,Too Expensive,Not Accepted
828,212,Duplicate Order,Delivered
829,592,Too Expensive,Delivered
847,517,Found a Better Price,Registered
862,556,Size/Fit Issues,Delivered
944,577,Too Expensive,Not Accepted
968,739,Found a Better Price,Not Accepted
973,681,Defective,Not Accepted
975,323,Duplicate Order,Delivered
985,768,Quality Issues,Not Accepted
998,834,Too Expensive,Delivered
1009,40,Wrong Item,Not Accepted
1027,872,Wrong Item,Received
1044,730,Duplicate Order,Not Accepted
1050,320,Duplicate Order,Not Accepted
1079,827,Not as Expected,Not Accepted
1086,310,Changed Mind,Not Accepted
1118,340,Damaged,Not Accepted
1125,626,Not as Expected,Sent
1133,186,Quality Issues,Delivered
1134,626,Wrong Item,Delivered
1155,919,Wrong Item,Delivered
1160,14,Defective,Not Accepted
1163,857,Defective,Delivered
1187,206,Too Expensive,Not Accepted
1191,987,Damaged,Delivered
1192,498,Changed Mind,Delivered
1212,58,Size/Fit Issues,Delivered
1213,13,Too Expensive,Registered
1215,783,Changed Mind,Delivered
1234,694,Changed Mind,Not Accepted
1245,35,Quality Issues,Not Accepted
1247,276,Found a Better Price,Delivered
1271,270,Changed Mind,Delivered
1276,178,Defective,Not Accepted
1295,884,Too Expensive,Sent
1309,16,Not as Expected,Delivered
1318,938,Wrong Item,Not Accepted
1333,325,Damaged,Not Accepted
1378,472,Quality Issues,Delivered
1379,656,Found a Better Price,Delivered
1382,596,Quality Issues,Not Accepted
1396,340,Found a Better Price,Not Accepted
1407,37,Changed Mind,Not Accepted
1410,708,Size/Fit Issues,Not Accepted
1412,607,Changed Mind,Delivered
1415,376,Found a Better Price,Not Accepted
1416,6,Damaged,Registered
1419,922,Not as Expected,Not Accepted
1423,627,Damaged,Delivered
1424,857,Size/Fit Issues,Not Accepted
1446,846,Changed Mind,Delivered
1462,813,Size/Fit Issues,Not Accepted
1470,403,Found a Better Price,Delivered
1478,55,Changed Mind,Delivered
1489,668,Defective,Not Accepted
1496,635,Not as Expected,Not Accepted
1501,981,Changed Mind,Delivered
1507,773,Quality Issues,Delivered
1517,60,Damaged,Not Accepted
1521,539,Found a Better Price,Delivered
1526,429,Damaged,Not Accepted
1540,357,Damaged,Delivered
1543,749,Wrong Item,Not Accepted
1561,584,Defective,Sent
1569,566,Size/Fit Issues,Not Accepted
1578,562,Size/Fit Issues,Delivered
1594,249,Found a Better Price,Delivered
1596,654,Size/Fit Issues,Not Accepted
1600,84,Too Expensive,Not Accepted
1625,249,Size/Fit Issues,Registered
1637,822,Changed Mind,Delivered
1645,793,Size/Fit Issues,Sent
1649,196,Size/Fit Issues,Not Accepted
1650,335,Wrong Item,Not Accepted
1656,587,Size/Fit Issues,Registered
1670,109,Size/Fit Issues,Registered
1680,199,Damaged,Delivered
1715,64,Changed Mind,Not Accepted
1722,106,Duplicate Order,Not Accepted
1723,547,Size/Fit Issues,Delivered
1729,114,Found a Better Price,Not Accepted
1757,62,Found a Better Price,Registered
1761,297,Changed Mind,Delivered
1770,693,Found a Better Price,Not Accepted
1775,378,Damaged,Delivered
1786,442,Not as Expected,Delivered
1791,709,Damaged,Not Accepted
1803,833,Wrong Item,Delivered
1804,482,Defective,Not Accepted
1811,41,Wrong Item,Not Accepted
1821,267,Found a Better Price,Registered
1844,776,Damaged,Not Accepted
1862,171,Duplicate Order,Not Accepted
1870,912,Duplicate Order,Not Accepted
1872,382,Too Expensive,Delivered
1882,262,Size/Fit Issues,Sent
1893,563,Duplicate Order,Registered
1907,694,Found a Better Price,Not Accepted
1922,957,Changed Mind,Not Accepted
1932,938,Defective,Delivered
1942,338,Found a Better Price,Not Accepted
1949,502,Quality Issues,Not Accepted
1954,250,Size/Fit Issues,Not Accepted
1963,183,Changed Mind,Received
1965,262,Defective,Delivered
1974,75,Size/Fit Issues,Sent
1982,779,Duplicate Order,Not Accepted
1985,908,Too Expensive,Not Accepted
1995,24,Changed Mind,Delivered
2005,912,Defective,Not Accepted
2014,501,Too Expensive,Delivered
2018,716,Too Expensive,Received
2023,558,Damaged,Not Accepted
2026,910,Not as Expected,Received
2073,653,Not as Expected,Sent
2074,983,Size/Fit Issues,Not Accepted
2095,912,Not as Expected,Delivered
2101,50,Duplicate Order,Not Accepted
2131,389,Wrong Item,Not Accepted
2135,86,Changed Mind,Received
2141,951,Defective,Not Accepted
2142,895,Changed Mind,Sent
2154,303,Changed Mind,Delivered
2159,117,Duplicate Order,Delivered
2174,224,Duplicate Order,Not Accepted
2192,818,Too Expensive,Delivered
2226,342,Wrong Item,Delivered
2251,774,Wrong Item,Delivered
2273,417,Quality Issues,Not Accepted
2277,588,Size/Fit Issues,Delivered
2294,105,Quality Issues,Delivered
2306,711,Changed Mind,Delivered
2310,56,Not as Expected,Delivered
2317,57,Too Expensive,Delivered
2323,319,Size/Fit Issues,Registered
2335,196,Size/Fit Issues,Not Accepted
2338,967,Quality Issues,Delivered
2363,64,Not as Expected,Delivered
2381,266,Defective,Not Accepted
2389,464,Changed Mind,Delivered
2396,982,Duplicate Order,Delivered
2397,266,Size/Fit Issues,Registered
2400,574,Wrong Item,Not Accepted
2411,696,Not as Expected,Registered
